2026-07-01 23:38:45,519 | INFO | เริ่มต้นโปรแกรม
2026-07-01 23:38:45,519 | INFO | กำลังโหลดข้อมูล BTC-USD
2026-07-01 23:38:46,386 | INFO | โหลดสำเร็จ (1827 แถว)
2026-07-01 23:38:46,409 | INFO | 💾 บันทึกข้อมูล -> data/20260701_233846.csv
2026-07-01 23:38:46,409 | INFO | โหลดข้อมูลสำเร็จ 1827 แถว
2026-07-02 08:26:20,238 | INFO | เริ่มต้นโปรแกรม
2026-07-02 08:26:20,239 | INFO | กำลังโหลดข้อมูล BTC-USD
2026-07-02 08:26:21,426 | INFO | โหลดสำเร็จ (1826 แถว)
2026-07-02 08:26:21,439 | INFO | 💾 บันทึกข้อมูล -> data/20260702_082621.csv
2026-07-02 08:30:47,907 | INFO | เริ่มต้นโปรแกรม
2026-07-02 08:30:47,907 | INFO | กำลังโหลดข้อมูล BTC-USD
2026-07-02 08:30:48,670 | INFO | โหลดสำเร็จ (1826 แถว)
2026-07-02 08:30:48,681 | INFO | 💾 บันทึกข้อมูล -> data/20260702_083048.csv
2026-07-02 08:30:49,181 | INFO | จำนวนข้อมูลทั้งหมด 1777 แถว
2026-07-02 08:30:49,181 | INFO | จำนวน Feature ทั้งหมด 21 คอลัมน์
2026-07-02 08:36:02,645 | INFO | เริ่มต้นโปรแกรม
2026-07-02 08:36:02,646 | INFO | กำลังโหลดข้อมูล BTC-USD
2026-07-02 08:36:03,702 | INFO | โหลดสำเร็จ (1826 แถว)
2026-07-02 08:36:03,714 | INFO | 💾 บันทึกข้อมูล -> data/20260702_083603.csv
2026-07-02 08:36:04,301 | INFO | จำนวนข้อมูลทั้งหมด 1777 แถว
2026-07-02 08:36:04,301 | INFO | จำนวน Feature ทั้งหมด 21 คอลัมน์
2026-07-02 08:41:03,171 | INFO | เริ่มต้นโปรแกรม
2026-07-02 08:41:03,171 | INFO | กำลังโหลดข้อมูล BTC-USD
2026-07-02 08:41:03,849 | INFO | โหลดสำเร็จ (1826 แถว)
2026-07-02 08:41:03,861 | INFO | 💾 บันทึกข้อมูล -> data/20260702_084103.csv
2026-07-02 08:41:04,189 | INFO | จำนวนข้อมูลทั้งหมด 1777 แถว
2026-07-02 08:41:04,189 | INFO | จำนวน Feature ทั้งหมด 21 คอลัมน์
2026-07-02 08:41:04,189 | INFO | >>> เข้า train_random_forest แล้ว <<<
2026-07-02 08:41:04,189 | INFO | เริ่ม Train Random Forest
2026-07-02 08:41:04,879 | INFO | Accuracy = 0.4438
2026-07-02 08:41:04,879 | INFO | AI Accuracy = 44.38%
2026-07-03 17:08:37,457 | INFO | เริ่มต้นโปรแกรม
2026-07-03 17:08:37,459 | INFO | กำลังโหลดข้อมูล BTC-USD
2026-07-03 17:08:38,722 | INFO | โหลดสำเร็จ (1827 แถว)
2026-07-03 17:08:38,740 | INFO | 💾 บันทึกข้อมูล -> data/20260703_170838.csv
2026-07-03 17:08:39,595 | INFO | จำนวนข้อมูลทั้งหมด 1778 แถว
2026-07-03 17:08:39,596 | INFO | จำนวน Feature ทั้งหมด 21 คอลัมน์
2026-07-03 17:08:39,596 | INFO | >>> เข้า train_random_forest แล้ว <<<
2026-07-03 17:08:39,596 | INFO | เริ่ม Train Random Forest
2026-07-03 17:08:40,327 | INFO | Accuracy = 0.4494
2026-07-03 17:08:40,327 | INFO | AI Accuracy = 44.94%
2026-07-03 17:14:30,665 | INFO | เริ่มต้นโปรแกรม
2026-07-03 17:14:30,666 | INFO | กำลังโหลดข้อมูล BTC-USD
2026-07-03 17:14:31,538 | INFO | โหลดสำเร็จ (1827 แถว)
2026-07-03 17:14:31,552 | INFO | 💾 บันทึกข้อมูล -> data/20260703_171431.csv
2026-07-03 17:14:32,176 | INFO | จำนวนข้อมูลทั้งหมด 1778 แถว
2026-07-03 17:14:32,177 | INFO | จำนวน Feature ทั้งหมด 21 คอลัมน์
2026-07-03 17:14:32,179 | INFO | >>> เข้า train_random_forest แล้ว <<<
2026-07-03 17:14:32,179 | INFO | เริ่ม Train Random Forest
2026-07-03 17:14:32,909 | INFO | Accuracy = 0.4494
2026-07-03 17:14:32,910 | INFO | AI Accuracy = 44.94%
2026-07-03 17:17:05,765 | INFO | เริ่มต้นโปรแกรม
2026-07-03 17:17:05,765 | INFO | กำลังโหลดข้อมูล BTC-USD
2026-07-03 17:17:06,515 | INFO | โหลดสำเร็จ (1827 แถว)
2026-07-03 17:17:06,526 | INFO | 💾 บันทึกข้อมูล -> data/20260703_171706.csv
2026-07-03 17:17:06,850 | INFO | จำนวนข้อมูลทั้งหมด 1778 แถว
2026-07-03 17:17:06,851 | INFO | จำนวน Feature ทั้งหมด 21 คอลัมน์
2026-07-03 17:17:06,851 | INFO | >>> เข้า train_random_forest แล้ว <<<
2026-07-03 17:17:06,851 | INFO | เริ่ม Train Random Forest
2026-07-03 17:17:07,591 | INFO | Accuracy = 0.4494
2026-07-03 17:17:07,652 | INFO | บันทึกโมเดล -> models/model.pkl
2026-07-03 17:17:07,652 | INFO | AI Accuracy = 44.94%
2026-07-03 18:35:58,314 | INFO | เริ่มต้นโปรแกรม
2026-07-03 18:35:58,315 | INFO | กำลังโหลดข้อมูล BTC-USD
2026-07-03 18:35:59,167 | INFO | โหลดสำเร็จ (1827 แถว)
2026-07-03 18:35:59,181 | INFO | 💾 บันทึกข้อมูล -> data/20260703_183559.csv
2026-07-03 18:36:00,013 | INFO | จำนวนข้อมูลทั้งหมด 1778 แถว
2026-07-03 18:36:00,017 | INFO | จำนวน Feature ทั้งหมด 21 คอลัมน์
2026-07-03 18:36:00,018 | INFO | เริ่ม AI Tournament
2026-07-03 18:36:00,022 | INFO | กำลัง Train Random Forest
2026-07-03 18:36:00,748 | INFO | กำลัง Train Gradient Boosting
2026-07-03 18:36:01,336 | INFO | กำลัง Train XGBoost
2026-07-03 18:36:01,542 | INFO | 
2026-07-03 18:36:01,542 | INFO | =============================================
2026-07-03 18:36:01,543 | INFO | 🏆 AI Leaderboard
2026-07-03 18:36:01,543 | INFO | =============================================
2026-07-03 18:36:01,543 | INFO | 1. Gradient Boosting   47.47%
2026-07-03 18:36:01,543 | INFO | 2. Random Forest       44.94%
